status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,more_code_info,termination_date
Ongoing,Beaverton,OR,United States,Class I,Food,93961,"Reser's Fine Foods, Inc.",15570 SW Jenkins Rd,,97006-6003,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in CA, CT, FL, ID, IL, MD, MT, NJ, NV, OR, PA, SD, TX, UT, VA, and WA.",F-1090-2024,"FCF Item 406957, Costco Item # 1744097, Club COSTCO SW Wrap Kit, Costco Service Deli, 2/8.15 lbs. Net Wt. 16.31 lbs., UPC 0 13454 38424 4.  Costco assembled and sold product as Southwest Wrap with Sauce, item #29433.","81,682 cases",Listeria monocytogenes. The recalled Cotija cheese was repackaged into finished wholesale and retail RTE products.,2024-02-06,2024-03-19,2024-03-27,Use By dates range:  12/10/2023 - 12/29/2023  01/04/2024 - 03/15/2024  Lot numbers:  164746 165267 165268 165269 165270 165744 165745 165746 166213 166214 166215 166774 166776 166778 166821 167072 167235 167345 167671 167672 168088 168117 168543 168545 168546 168855 168985 168986 169158 169220 169388 169390 169436 169684 169774 169775 169783 169978 170237 170238 170240 170521 170673 170674 170982 171123 171124 171125 171609,,
Terminated,East Windsor,CT,United States,Class I,Food,94311,Geissler's Supermarket,100 Bridge St,,06088-9585,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",CT & MA,F-1254-2024,"Geissler's Supermarket Spicy Salmon 9.6 oz  Ingredients read in part: ""***INGREDIENTS:RICE, NORI, AVOCADO, SALMON, MAYONNAISE, CHILI, SUGAR, SALT, GARLIC, ACETIC ACID, POTASSIUM SORBATE, SODIUM Bl SULFITE, XANTHAN GUM, VINEGAR, ORANGE JUICE, ALCOHOL, HIGH FRUCTOSE CORN SYRUP, WATER, CITRIC ACID, SODIUM BENZOATE, SOY SAUCE(WATER, WHEAT, SOYBEAN, SALT, ALCOHOL), SOYPROTEIN, VINEGAR, SUGAR, SALT, SEAWEED, SESAME Oil, SESAME SEED, HORSERADISH, MUSTARD. KEEP REFRIGERATED. ***MADE IN A FACllllY THAT PROCESSES SHELLFISH, SOY, PEANUTS, TREE NUTS, EGGS, DAIRY & WHEAT***""  Evaluation of this label found it does not declare egg in the mayonnaise sub ingredient.  Hazard statement does not list sesame, does not list fish",193 units total,undeclared allergens (egg),2024-03-28,2024-05-23,2024-05-29,best by 03/27/24 or 03/28/24 UPC Codes: 234011006496,,2024-06-14
Ongoing,Delphos,OH,United States,Class I,Food,93956,Lakeview Farms LLC,1700 Gressel Dr,,45833-9152,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Alabama/Alaska/ Florida/Georgia/Idaho/Mississippi/Montana/North Carolina/Oregon/South Carolina/Tennessee/Utah/Washington,F-1003-2024,"Rojo Black Bean 6 Layer Dip packaged in 20oz PET plastic containers, sold in sleeve with two containers per sleeve. 12 sleeves per case.",US - 7350 cases; Canada - 2584 cases,Potential contamination of Listeria monocytogenes,2024-02-06,2024-02-29,2024-03-06,"Lot Codes/Best By Dates: Feb 06 2024,  Feb 14 2024,  Feb 16 2024,  Feb 21 2024,  Feb 23 2024,  Feb 29 2024,  Mar 02 2024,  Mar 07 2024,  Mar 09 2024,  Mar 14 2024,  Mar 21 2024,  Mar 22 2024    Product Nos. 008292 (USA) 001842 (Canada)",,
Ongoing,Brooklyn,NY,United States,Class II,Food,94556,"Maribel's Sweets, Inc.",38 Dobbin St,,11222-3110,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide E-commerce, retail stores in NY",F-1270-2024,6. Mother s Day love purse,4011 boxes total,Contains undeclared coconut.,2024-05-02,2024-05-27,2024-06-05,"Lot/Unit Numbers:  07324,07424, 07824, 07924, 08024, 08124, 08524, 08624, 08724, 08824, 09224, 09324, 08424, 08524, 09924, 10024, 10124, 10224, 10624, 10824, 10724, 10924, 11324, 11424, 11524, 12024, 12124, 12224, 12324  Expiration date(s) or Use by Date(s) or expected shelf life of product:  fresh 6 weeks and frozen 1 year  UPC Codes:   877708001062",,
Ongoing,Kenilworth,NJ,United States,Class II,Food,94077,Turkana Food Inc.,555 N Michigan Ave,,07033-1076,Voluntary: Firm initiated,Telephone,"Distributed to retail stores in CA, CT, WI, IN, NJ, OH, FL, MA, RI, TX, IL, GA, TN, MD, PA,NJ, NC, MI,  MN, VA, and NY",F-1119-2024,Sekeroglu Lokum Love Turkish Delight With Pistachio And Pomegranate Flavor Double Roasted Delight 350 grams UPC:8683454050542. Packaged in a paper carton. 25 cartons per case.,72 cases,Product contains Acid Red 18,2024-02-15,2024-04-04,2024-04-10,"Lot No: L 231023NCKL, Exp Date: 10/22/24",,
Terminated,Windermere,FL,United States,Class I,Food,93972,Fresh Express Incorpated,4757 The Grove Dr,N/A,34786-8426,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","AL, FL, GA, CA, UT, WA; Canada",F-0876-2024,"Fresh Express Kit Salsa! Ensalada with condiments(toppings that include cheese), labeled salad bag (Iceberg & Romaine Lettuce, Salsa Ranch Dressing, Nacho Taco Seasoned Cheese Yellow & Blue Tortilla Strips), Net Wt 12.1 oz, 6 bags per case. UPC 071279309026",4826 Cases,Product has the potential to be contaminated with Listeria monocytogenes.  The condiment pack in the salad kit contains cheese recalled by the cheese supplier.,2024-02-08,2024-02-15,2024-02-21,"Lot Number:S002, S003, S005, S008, S009, S012, S015, S019, S023, S026, S030, S033, S353, S356, S361, S362, S364  Expiration/Use By Date : 01/06/2024, 01/10/2024, 01/15/2024, 01/16/2024, 01/18/2024, 01/21/2024, 01/22/2024, 01/24/2024, 01/27/2024, 01/28/2024, 01/31/2024, 02/3/2024 , 02/07/2024, 02/11/2024 , 02/14/2024, 02/18/2024, 02/20/2024   Condiment Pack Use-by Dates  02/28/2024 to 04/04/2024",,2024-04-16
Ongoing,San Antonio,TX,United States,Class II,Food,94529,H-E-B San Antonio Retail Support Center (SARSC),4710 N Pan Am Expy,,78218-5415,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Texas,F-1279-2024,3-ounce H-E-B Creamy Creations Ice Cream Homemade/Chocolate Combo -12 pack,0 cups,Potential metal contamination,2024-04-27,2024-05-30,2024-06-05,Code date 09/11/2024 thru 09/21/2024,,
Terminated,Monterey,CA,United States,Class I,Food,93980,Dole Fresh Vegetables Inc,2959 Monterey Hwy,,93940,Voluntary: Firm initiated,Letter,"U.S . distribution to the following: AL, CA, CT, FL, GA, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NV, NY, OH, PA, SC, TN, UT, VA, WA and WI  Foreign distribution to the following: Canada- AB, BC, NB, ON and QC",F-1076-2024,Marketside Chopped Salad Kit Bacon Crunch UPC 681131305440,"50,645 cases total",Product has the potential to be contaminated with Listeria monocytogenes.,2024-02-08,2024-03-15,2024-03-27,B020- B036 02/05/2024- 02/21/2024,,2024-04-08
Terminated,Nashville,TN,United States,Class II,Food,93921,Bakery by Frothy Monkey,200 Hill Ave Ste 3,,37210-4719,Voluntary: Firm initiated,E-Mail,"Tennessee, Alabama",F-1021-2024,Frothy Monkey - Chocolate Croissant - packaged and sold individually,78,Potential Foreign Material - Metal Fragments,2024-02-01,2024-03-04,2024-03-13,no coding used  Best By: 01/31/2024,,2024-03-07
Ongoing,Lake Oswego,OR,United States,Class III,Food,94230,HTO Nevada Inc DBA Kirkman,6400 Rosewood St,N/A,97035-5392,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in CA, FL, OH, TX, WA and WI and in the following countries China, Netherlands, Pakistan, Peru, Switzerland, and United Kingdom.",F-1222-2024,"Kirkman brand 5-MTHF Methyltetrahydrofolate 1mg capsule dietary supplement, Folate 1667mcg DFE, 5000mcg Folic Acid, 120 capsules per package, UPC 8 12325 02354 7. Manufactured exclusively by: Kirkman, Lake Oswego, OR 9703,",366 bottles,"Labeling error.  The 5-MTHF 1mg label incorrectly declares 5000mcg Folic Acid instead 1000mcg Folic Acid per serving in the Supplement Facts, but correctly declares Folate 1667mcg DFE. The front label correctly declares product as 5-MTHF Methyltetrahydrofolate 1mg (or 1000mcg).",2024-03-12,2024-05-08,2024-05-15,"Lot#: 477-0016, Exp: 08/2025",,
Terminated,Melbourne,FL,United States,Class I,Food,93989,"COMPASS GROUP USA, INC.",685 Atlantis Rd,N/A,32904-2316,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Domestic distribution only within state of Florida,F-0910-2024,"Ham & Cotija Torta Sandwich on Telera Roll, 8.3 oz, plastic container, UPC 100001002017",206 units,Listeria monocytogenes. The recalled Cotija cheese was repackaged into finished RTE Sprig and Sprout  Ham and Cotija Torta Sandwich on Telera Roll.,2024-02-09,2024-02-22,2024-02-28,USE BY DATES 02/09/24 to 02/16/24,,2024-06-07
Ongoing,La Fargeville,NY,United States,Class II,Food,94616,HP Hood (LAFARGEVILLE),20700 State Route 411,,13656-3228,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",NY,F-1249-2024,Price Chopper Fat Free Cottage Cheese with Pineapple Added 16oz plastic tub.,753 cases,Contains undeclared sugar,2024-05-10,2024-05-21,2024-05-29,"Item # 54267, UPC 041735162298 MAY 13 24 H3 14L HH:MM MAY 20 24 H3 22L HH:MM MAY 27 24 H3 28L HH:MM",,
Ongoing,Sacramento,CA,United States,Class II,Food,94390,Sacramento Cookie Factory,3428 Auburn Blvd,N/A,95821-1904,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. Distribution to the following states: CA, AK, IA, NY, TX, FL, WA, NJ, WA, VA, GA, TN, AZ, AL, NC. For foreign or government distribution.",F-1216-2024,Tea Wafer - Vanilla Almond [Two sizes: retail package of 8 wafers (7 oz) and retail gift package of 2 wafers (2 oz)],Retail package of 8 wafers: 464 units; Retail Gift of 2 wafers: 162 units,Undeclared allergen (milk),2024-04-17,2024-05-06,2024-05-15,All best by dates up to 4/2/2025 (shelf life is 1 year from manufacture date). Firm does not apply lot codes.,,
Terminated,Garden Grove,CA,United States,Class I,Food,94085,LQNN Inc.,7180 Lampson Ave,,92841-3914,Voluntary: Firm initiated,Letter,"U.S. distribution to customers in: Alabama, Arizona, Arkansas, California, Colorado, Florida, Georgia, Hawaii, Illinois, Indiana, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Tennessee, Texas, Utah, Virginia, and Washington.   Canada with different product code and name:  Banh Pia Hopia Cake Gateau Hopia",F-1051-2024,"Vegetarian Pia Cake Pandan Durian,  14oz (400g)","222,320 bags (total)",Undeclared allergen; egg,2024-02-20,2024-03-07,2024-03-13,"Universal Product Code: 8 936014 319185 Lot #s: DEC0925, NOV1825, NOV1325, NOV0425, OCT1325, OCT0225",,2024-05-14
Ongoing,Dallas,TX,United States,Class II,Food,94469,Texas Pecan Co,2850 Satsuma Dr,,75229-3523,Voluntary: Firm initiated,Press Release,"Product is sold online, in the firm's store and through a wholesaler in Texas.",F-1277-2024,"1lb and 8oz bags include Apricots, Whole Dates, golden Raisins, Mangos, Currants, Blueberries, Cranberries, Prunes, Raw Sunflower Seeds, Raw Pumpkin Seeds, Pecan Medium Pieces, Blanched Sliced Almonds, Natural Sliced Almonds, Blanched Slivered Almonds, Blanched Whole Almonds and Raw Blanched Peanuts","71,048 bags (total)","Potential cross-contamination with tree nuts, peanuts, milk, soy, sesame, & wheat.",2024-05-08,2024-05-29,2024-06-05,lot code of 23200 to 23265 than 24001 to 24079,,
Terminated,Newport Beach,CA,United States,Class I,Food,94462,"Graceleigh, Inc. dba Sammy's Milk",3471 Via Lido Ste 207,,92663-3929,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. Distribution to the following states: AL, AK, AZ, AK, CA, CO, CT, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MI, MN, MS, MO, MT, NV, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, TN, TX, UT, VT, VA, WA, WI, WY. All sales direct to consumer.",F-1247-2024,"Sammy's Milk GOAT MILK TODDLER FORMULA, 25.68 oz (78g) pouch","1,465 units of 25.68 oz Pouches","FDA inspection and investigation of firm's website and social media pages found that Sammy's online marketing materials included misleading information that implied the product was safe for use as a sole source of nutrition for infants. Sammy's Milk has not submitted to FDA the premarket notification required for an infant formula, and the product is not manufactured in compliance with the infant formula requirements.",2024-04-18,2024-05-17,2024-05-29,"Lot Code SD348, Best by date of August of 2025",,2024-05-24
Terminated,Boise,ID,United States,Class II,Food,94206,Albertsons Companies LLC,250 E Park Center Blvd,,83726-0020,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: CA, NV  No foreign distribution.",F-1081-2024,"Signature Select, Athens, and Cal Pia brand Bread Butter White Bread 22 oz. loaf","13,550 units",Foreign object; metal and plastic shavings.,2024-03-04,2024-03-15,2024-03-27,Signature Select Butter Top White Bread  Best Before: 3/21/24   UPC: 2113019803  Athens Select Butter Top White Bread  Julian Date: 062 UPC:  9999919803  Cal Pia 100% Whole Wheat Bread  Julian Date: 062 UPC: 9999900132,,2024-04-22
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1314-2024,"Grindsted Creamer 2395 Stabilizer and Emulsifier System, 22.68 kg / 50 lb bag",36741.60 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204609294; 1204609295; 1204609296; 1204609297; 1204609298; 1204609299; 1204609300; 1204609301; 1204609302; 1204609303; 1204609304; 1204609305; 1204609306; 1204609307; 1204609308; 1204609309; 1204609310; 1204609311; 1204609312; 1204609313; 1204609314; 1204616108; 1204616110; 1204616112; 1204616114; 1204616116; 1204616118; 1204616120; 1204616122; 1204616124; 1204616126; 1204616128; 1204616130; 1204616132; 1204616134; 1204616116; 1204616136; 1204616137; 1204616138; 1204616139; 1204616140; 1204616141,,
Ongoing,Green Bay,WI,United States,Class II,Food,94578,Schreiber Foods Inc,400 N Washington St,N/A,54301-5111,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","CA, FL, IA, IL, IN, MA, MD, MI, MN, MO, NC, NJ, NY, OH, PA, TX, VA, WA, WI.  Product was also shipped to Puerto Rico.",F-1294-2024,"Blueberry Cream Cheese Spread, Net Wt. 8 oz. (226g). Keep Refrigerated, packaged under the brand Essential Everyday, UPC 0 41303-04876 4.  Distributed By UNFI, Providence, RI 02908.","835,721 units total",Potential Salmonella contamination.,2024-05-03,2024-06-04,2024-06-12,BEST BY 09/19/24,,
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1014-2024,"White Cheddar cheese packaged in the following configurations:   1.   Sargento Part #23340 Fancy Shredded Sharp White Cheddar Cheese.  Pack Size 500/0.5 oz.  Material #10001126, UPC 46100329313.     2.  Sargento Fancy Shredded Mild White Cheddar Cheese.  Pack Size 500/0.5 oz.  Net Wt 15.625 lbs.  Material #10001452, UPC 46100346136.   3.  Sargento Fancy Shred Mild White Cheddar Cheese.  Pack Size 400/1 oz.  Net Wt 25.000 lbs.  Material #10001696.  UPC 46100350829.    Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.","2,633 cases",Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:   Product 1:   02213015 / Best By   MAR 03 24   Product 2:    02212842 / Best By   MAR/02/24;  02224657 / Best By   MAY/20/24;  02226159 / Best By   JUN/01/24;  02227341 / Best By   JUN/09/24.    Product 3:   02225136 / Best By   MAY/26/24,,2024-04-30
Ongoing,San Leandro,CA,United States,Class I,Food,94064,"Woolery Enterprises, Inc. dba Will's Fresh Foods",1991 Republic Ave,,94577-4220,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution to the following: CA  No foreign distribution.,F-1031-2024,Will's Fresh Foods Street Corn Salad,462 units,L. mono contamination,2024-02-14,2024-03-05,2024-03-13,Lot No.:  446985; UPC:  748355-00288-0; Expiration Date:  3/12/2024 Lot No.:  446689; UPC:  748355-00288-0; Expiration Date:  3/4/2024 Lot No.:  446415; UPC:  748355-00288-0; Expiration Date:  2/26/2024 Lot No.:  446415; UPC:  748355-00288-0; Expiration Date:  2/26/2024 Lot No.:  446416; UPC:  748355-00288-0; Expiration Date:  2/26/2024 Lot No.:  446190; UPC:  748355-00288-0; Expiration Date:  2/19/2024 Lot No.:  446191; UPC:  748355-00288-0; Expiration Date:  2/19/2024 Lot No.:  446191; UPC:  748355-00288-0; Expiration Date:  2/29/2024,,
Completed,Coventry,CT,United States,Class III,Food,94334,Charles Boggini Company Llc,733 Bread And Milk St,N/A,06238-1014,Voluntary: Firm initiated,E-Mail,"CT, PA, NY, NJ, AZ, MI, IL, NV, CA",F-1286-2024,Charles Boggini Company Yellow Lemonade and Yellow Lemonade X; 1 gallon and 5 gallons,112 Gallons,Products contain undeclared FD&C Yellow No. 5,2024-03-29,2024-06-03,2024-06-12,Yellow Lemonade X Lot/Unit Numbers: 1-015 Yellow Lemonade Lot/Unit Numbers: 1-065,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0832-2024,GALBANI SMOKED PROV 3/12#     SUPC/ITEM # 19422,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,New Britain,CT,United States,Class I,Food,94406,Roly-Poly Bakery,648 Main St,N/A,06051-1832,Voluntary: Firm initiated,Telephone,"CT, MA",F-1204-2024,"Roly Poly Bakery brand MULTIGRAIN bread; INGREDIENTS: Whole Wheat Flour, High Gluten Flour, Ryechops, Sesame, Caraway, Brownflex, Soybean, Pearl Wheat, Sunflower, Salt, Water.",16 Units,Product contains undeclared egg.,2024-04-11,2024-04-25,2024-05-01,All product distributed until 4/11/24.,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0833-2024,GRANDE  RICOTTA SOPRAFFINA 6/3#      SUPC/ITEM # 19535,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1328-2024,"GS 1134 Kreme WIP, 25 kg / 55.12 lb bag",11000.00 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot number: 1204583365; 1204583366; 1204583367; 1204583368; 1204583369; 1204583370; 1204588467; 1204597872; 1204597873; 1204597874; 1204609217,,
Terminated,Milwaukie,OR,United States,Class I,Food,93850,Lydia Pack 3 Inc,5699 Se International Way Ste D,N/A,97222-4647,Voluntary: Firm initiated,Press Release,Distributed in OR and WA.,F-0869-2024,"Al Amir Fresh Foods Baba Ghannooj Grilled Eggplant, packaged in round plastic clear container, net wt. 8oz. There are 12 containers per case. UPC on 8oz container: 7 55134 12342 1.  The recalled product label declares: Ingredients: Fresh Grilled Eggplant, Tahini Paste, Garlico (Fresh Garlic/Oil/Lemon/Salt), Garbanzo Beans, Natural Citric Acid, Salt.","3,000 to 4,000 packages",Hummus product label declares Tahini but does not declare sesame.,2024-01-19,2024-02-13,2024-02-21,All dates up to and includes 1/25/2024,,2024-04-16
Terminated,Edison,NJ,United States,Class II,Food,93826,United Natural Trading Inc. dba Woodstock Farms,96 Executive Ave,N/A,08817-6016,Voluntary: Firm initiated,E-Mail,"The recalled product was distribute to the following states : MD, OR, MA",F-0778-2024,"Market Basket, Organic Trek Mix, 11oz & 14oz. plastic resealable bags . 8/11oz & 12/14oz bags per case.",48 Cases,Product contains stem / vegetation foreign material.,2024-01-12,2024-01-22,2024-01-31,Lot #23354,,2024-04-30
Terminated,Fostoria,OH,United States,Class II,Food,93915,Mennel Milling Company,319 S Vine St,PO Box 806,44830-1843,Voluntary: Firm initiated,E-Mail,"KY, MI, NJ, NY, OH, PA",F-0892-2024,"01050 KA AP FLOUR delivered as bulk product in approximately 50,000 lbs trailers",2633960 TOTAL lbs,"Potential Foreign Material - Metal, Wood, Gasket Material, and/or Sifter balls",2024-01-30,2024-02-16,2024-02-28,Lot Codes: 24024-36; 24024-43; 24024-46; 24024-51; 24024-55; 24025-04; 24025-07; 24025-11; 24025-14; 24025-17; 24025-23; 24025-33; 24025-35; 24025-37; 24025-40; 24025-45; 24025-46; 24026-05;    24026-10;    24026-12; 24026-15; 24026-16; 24026-19; 24026-20; 24026-23; 24026-24; 24026-26; 24026-32;    24026-35; 24026-36; 24026-38; 24026-40; 24026-41; 24026-46; 24026-50; 24026-53; 24026-55;    24027-04; 24027-05; 24027-06; 24027-08; 24027-09; 24027-10; 24027-11; 24027-14; 24027-19;    24027-24; 24027-25; 24027-31; 24028-06; 24028-07; 24028-09; 24028-10; 24028-16; 24028-18;    24028-19; 24028-22; 24029-03; 24029-07; 24029-10; 24029-28   Product Code: H349T1-02029,,2024-03-21
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1017-2024,"Italian Cheese Blend packaged in the following configurations:   1.   Sargento Part #23613, Fancy Shredded Italian Cheese Blend  Pack Size 500/0.5 oz.   Material #10000946, UPC 46100344583.     2.  Sargento Fancy Shredded Italian Cheese Blend.  Pack Size 400/1 oz.  Net Wt 25.000 lbs. Material #10003284, UPC 46100355343.        Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.",97 cases,Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:   Product 1 02225878 / Best By   MAY/02/24  Product 2 02225889 / Best By   MAY/02/24,,2024-04-30
Ongoing,Cincinnati,OH,United States,Class II,Food,93916,The Procter & Gamble Company,1 Procter And Gamble Plz,N/A,45202-3315,Voluntary: Firm initiated,E-Mail,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Nevada, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Wisconsin",F-0907-2024,Meta Psyllium Fiber Capsules packaged as 100 count or 160 count PET bottles - 12 bottles per case.,"21,428 cases TOTAL",Illegible Label,2024-02-01,2024-02-20,2024-02-28,"Lot Codes (100 count): 31661725G1, 32151725G1, 324211725G1, 32481725G1, 32611725G1, 32901725G1, 33131725G1, 33311725G1, 33411725G1, 33451725G1  Product No (100 count): 80374550  Case UPC (100count): 10037000405143  Item UPC (100 count): 037000405146  Expiration Dates (100 count): 05/31/2026, 06/30/2026, 07/31/2026, 08/31/2026, 09/30/2026, 10/31/2026  Lot Codes(160 count): 31651725G2, 32171725G1, 32211725G1, 32411725G1, 32581725G, 32771725G1, 32911725G3, 32961725G1, 33171725G1, 33251725G2, 33451725G2  Product No. (160 count) 80374554  Case UPC (160 count): 10037000405112   Item UPC (16 count): 037000405115   Expiration Dates(for 160 count): 05/30/2026, 06/30/2026, 08/31/2026, 09/30/2026, 10/31/2026",,
Ongoing,Salinas,CA,United States,Class I,Food,93982,Taylor Fresh Foods Inc,150 Main St Ste 300,,93901-3441,Voluntary: Firm initiated,Letter,"U.S. distribution to the following: AL, AR, CO, DC, IA, KS, KY, LA, MD, MN, MO, MS, MT, NC, ND, NE, NY, OK, PA, SD, TN, TX, VA, WV, WY, WA, OR  No foreign distribution.",F-1026-2024,"COLD CASE, ROASTED STREET CORN SALAD 1/4.78# (KR) Separate Kit Items packed in sealed bag and placed in a plastic RPC container",60 cases,Product has the potential to be contaminated with Listeria monocytogenes.,2024-02-07,2024-03-04,2024-03-13,Batch # WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024034 WO2024036 WO2024036 WO2024036 WO2024036 WO2024036 WO2024036 WO2024036 WO2024036,,
Terminated,Fostoria,OH,United States,Class II,Food,93915,Mennel Milling Company,319 S Vine St,PO Box 806,44830-1843,Voluntary: Firm initiated,E-Mail,"KY, MI, NJ, NY, OH, PA",F-0880-2024,"160919 FLR BLE WINTER delivered as bulk product in approximately 50,000 lbs trailers",2633960 TOTAL lbs,"Potential Foreign Material - Metal, Wood, Gasket Material, and/or Sifter balls",2024-01-30,2024-02-16,2024-02-28,Lot Codes: 24024-43; 24024-46; 24024-51; 24024-55; 24025-04; 24025-17; 24025-11; 24025-14; 24025-07; 24025-33; 24025-40; 24025-37; 24026-10; 24026-24; 24026-26; 24026-05; 24026-19; 24025-46; 24027-14; 24027-19; 24027-11; 24026-38; 24027-04; 24027-25; 24029-03; 24028-19; 24027-06; 24027-05; 24026-12; 24028-07; 24026-23; 24028-10; 24026-53; 24025-35; 24026-20; 24026-15; 24028-18  Product Code: H150T1-02010,,2024-03-21
